Time,Price,Qty,RSI
2019-11-17 21:10:47.365,8556.52,0.001331,50.0
2019-11-17 21:10:47.852,8555.87,0.011565,50.0
2019-11-17 21:10:48.644,8555.87,0.011565,50.0
2019-11-17 21:10:48.813,8555.87,0.000243,50.0
2019-11-17 21:10:48.813,8555.65,0.029057,50.0
2019-11-17 21:10:48.830,8555.65,0.000267,50.0
2019-11-17 21:10:48.861,8555.02,0.140508,50.0
2019-11-17 21:10:48.881,8555.03,0.032725,50.0
2019-11-17 21:10:48.881,8555.0,0.028085,50.0
2019-11-17 21:10:48.881,8555.0,0.229795,50.0
2019-11-17 21:10:48.885,8554.94,0.060814,50.0
2019-11-17 21:10:48.885,8554.9,0.406686,50.0
2019-11-17 21:10:48.900,8554.99,0.086303,50.0
2019-11-17 21:10:48.900,8554.9,0.381197,50.0
2019-11-17 21:10:48.901,8554.9,0.43794,50.0
2019-11-17 21:10:48.901,8554.9,0.4675,50.0
2019-11-17 21:10:48.909,8555.03,0.02809,50.0
2019-11-17 21:10:48.917,8555.03,0.004635,50.0
2019-11-17 21:10:48.917,8554.9,0.913228,50.0
2019-11-17 21:10:48.930,8554.89,0.002337,50.0
2019-11-17 21:10:49.200,8555.04,0.032725,50.0
2019-11-17 21:10:49.322,8554.75,0.052121,50.0
2019-11-17 21:10:49.388,8554.58,0.032021,50.0
2019-11-17 21:10:49.388,8554.57,1.088116,50.0
2019-11-17 21:10:49.388,8554.52,0.002455,50.0
2019-11-17 21:10:49.388,8554.39,0.879863,50.0
2019-11-17 21:10:49.404,8554.39,0.042731,50.0
2019-11-17 21:10:49.426,8555.78,0.002332,50.0
2019-11-17 21:10:49.522,8554.48,0.019637,50.0
2019-11-17 21:10:49.709,8553.41,0.011569,50.0
2019-11-17 21:10:49.813,8555.4,0.25401,50.0
2019-11-17 21:10:49.922,8555.31,0.011565,50.0
2019-11-17 21:10:49.922,8555.31,0.141911,50.0
2019-11-17 21:10:49.930,8553.43,0.002338,50.0
2019-11-17 21:10:50.024,8555.26,0.143751,50.0
2019-11-17 21:10:50.128,8555.2,0.057972,50.0
2019-11-17 21:10:50.231,8554.66,0.225261,50.0
2019-11-17 21:10:50.238,8555.15,0.004285,50.0
2019-11-17 21:10:50.245,8555.15,0.101465,50.0
2019-11-17 21:10:50.342,8555.1,0.101465,50.0
2019-11-17 21:10:50.345,8553.56,0.011569,50.0
2019-11-17 21:10:50.438,8555.05,0.101465,50.0
2019-11-17 21:10:50.554,8555.0,0.046132,50.0
2019-11-17 21:10:50.668,8554.96,0.088116,50.0
2019-11-17 21:10:50.668,8554.99,0.419222,50.0
2019-11-17 21:10:50.712,8553.4,0.012201,50.0
2019-11-17 21:10:50.712,8553.25,0.009166,50.0
2019-11-17 21:10:50.712,8553.15,0.004671,50.0
2019-11-17 21:10:50.772,8554.85,0.054127,50.0
2019-11-17 21:10:50.895,8554.67,0.003976,50.0
2019-11-17 21:10:51.015,8554.57,0.022053,50.0
2019-11-17 21:10:51.030,8553.64,0.011569,50.0
2019-11-17 21:10:51.079,8554.5,0.031712,50.0
2019-11-17 21:10:51.185,8554.41,0.019482,50.0
2019-11-17 21:10:51.287,8554.34,0.019482,50.0
2019-11-17 21:10:51.297,8554.28,0.002571,50.0
2019-11-17 21:10:51.503,8554.18,0.018479,50.0
2019-11-17 21:10:51.736,8554.06,0.01084,50.0
2019-11-17 21:10:51.736,8554.07,0.17461,50.0
2019-11-17 21:10:51.911,8554.02,0.001915,50.0
2019-11-17 21:10:52.014,8553.97,0.005821,50.0
2019-11-17 21:10:52.135,8553.92,0.005902,50.0
2019-11-17 21:10:52.199,8551.9,0.011571,50.0
2019-11-17 21:10:52.230,8553.9,0.008101,50.0
2019-11-17 21:10:52.230,8553.91,0.299871,50.0
2019-11-17 21:10:52.269,8553.9,0.004938,50.0
2019-11-17 21:10:52.269,8553.91,0.012595,50.0
2019-11-17 21:10:52.328,8553.89,0.203047,50.0
2019-11-17 21:10:52.438,8553.86,0.003047,50.0
2019-11-17 21:10:52.550,8553.84,0.467956,50.0
2019-11-17 21:10:52.662,8553.82,0.513771,50.0
2019-11-17 21:10:52.760,8553.8,0.502076,50.0
2019-11-17 21:10:52.873,8553.78,0.547221,50.0
2019-11-17 21:10:52.967,8553.76,0.527701,50.0
2019-11-17 21:10:53.072,8553.74,0.470885,50.0
2019-11-17 21:10:53.177,8553.72,0.496948,50.0
2019-11-17 21:10:53.301,8553.69,0.2,50.0
2019-11-17 21:10:53.301,8553.7,0.266224,50.0
2019-11-17 21:10:53.360,8553.68,0.004,50.0
2019-11-17 21:10:53.396,8553.68,0.535797,50.0
2019-11-17 21:10:53.522,8553.68,0.478722,50.0
2019-11-17 21:10:53.591,8553.68,0.00134,50.0
2019-11-17 21:10:53.606,8553.68,0.485643,50.0
2019-11-17 21:10:53.712,8552.66,0.499724,50.0
2019-11-17 21:10:53.829,8552.66,0.525128,50.0
2019-11-17 21:10:53.936,8552.66,0.451624,50.0
2019-11-17 21:10:54.029,8552.66,0.493194,50.0
2019-11-17 21:10:54.135,8553.67,0.240255,50.0
2019-11-17 21:10:54.135,8553.68,0.226011,50.0
2019-11-17 21:10:54.237,8553.66,0.467884,50.0
2019-11-17 21:10:54.332,8553.66,0.459465,50.0
2019-11-17 21:10:54.454,8553.66,0.070456,50.0
2019-11-17 21:10:54.482,8552.69,0.011572,50.0
2019-11-17 21:10:54.552,8553.66,0.002071,50.0
2019-11-17 21:10:54.688,8553.66,0.006465,50.0
2019-11-17 21:10:54.794,8553.66,0.011942,50.0
2019-11-17 21:10:54.899,8553.66,0.019223,50.0
2019-11-17 21:10:55.003,8553.66,0.051799,50.0
2019-11-17 21:10:55.108,8553.66,0.007336,50.0
2019-11-17 21:10:55.219,8553.66,0.009284,50.0
2019-11-17 21:10:57.687,8553.19,0.259132,50.0
2019-11-17 21:10:57.735,8553.6,0.005,50.0
2019-11-17 21:10:58.548,8553.59,0.011823,50.0
2019-11-17 21:10:58.788,8553.57,0.009288,50.0
2019-11-17 21:10:59.789,8553.55,0.001391,50.0
2019-11-17 21:11:02.600,8553.49,0.009288,50.0
2019-11-17 21:11:02.655,8552.72,0.011572,50.0
2019-11-17 21:11:02.716,8553.47,0.002071,50.0
2019-11-17 21:11:02.958,8553.42,0.002332,50.0
2019-11-17 21:11:03.228,8553.12,0.189202,50.0
2019-11-17 21:11:04.634,8552.5,0.011572,50.0
2019-11-17 21:11:05.073,8553.08,0.006076,50.0
2019-11-17 21:11:06.710,8551.83,0.255129,50.0
2019-11-17 21:11:06.710,8551.81,0.02338,50.0
2019-11-17 21:11:06.710,8551.79,0.104807,50.0
2019-11-17 21:11:06.710,8551.0,0.041586,50.0
2019-11-17 21:11:06.710,8550.98,1.245263,50.0
2019-11-17 21:11:06.976,8551.76,0.001487,50.0
2019-11-17 21:11:07.032,8551.76,0.002337,50.0
2019-11-17 21:11:07.126,8551.76,0.015915,50.0
2019-11-17 21:11:07.221,8551.74,0.002071,50.0
2019-11-17 21:11:07.369,8551.73,0.073025,50.0
2019-11-17 21:11:08.107,8551.24,0.001346,50.0
2019-11-17 21:11:08.583,8551.44,0.001286,50.0
2019-11-17 21:11:08.711,8551.74,0.027084,50.0
2019-11-17 21:11:08.763,8551.44,1.553188,50.0
2019-11-17 21:11:08.820,8551.74,0.06885,50.0
2019-11-17 21:11:09.251,8551.74,1.3e-05,50.0
2019-11-17 21:11:09.251,8551.76,0.023387,50.0
2019-11-17 21:11:09.251,8551.77,0.036433,50.0
2019-11-17 21:11:09.323,8551.77,0.001867,50.0
2019-11-17 21:11:09.440,8551.77,0.003621,50.0
2019-11-17 21:11:09.561,8551.77,0.022005,50.0
2019-11-17 21:11:09.649,8551.77,1e-05,50.0
2019-11-17 21:11:10.115,8552.99,0.012926,50.0
2019-11-17 21:11:10.115,8553.0,0.041033,50.0
2019-11-17 21:11:10.115,8553.21,0.001493,50.0
2019-11-17 21:11:10.115,8553.25,0.1103,50.0
2019-11-17 21:11:10.115,8554.04,0.107959,50.0
2019-11-17 21:11:10.115,8554.91,0.126289,50.0
2019-11-17 21:11:10.424,8552.28,0.162099,50.0
2019-11-17 21:11:10.424,8552.19,0.023378,50.0
2019-11-17 21:11:10.424,8552.19,0.025461,50.0
2019-11-17 21:11:10.681,8554.82,0.003754,50.0
2019-11-17 21:11:10.694,8554.82,0.060125,50.0
2019-11-17 21:11:10.797,8554.82,0.015484,50.0
2019-11-17 21:11:10.981,8554.82,0.030937,50.0
2019-11-17 21:11:11.276,8554.88,0.060151,50.0
2019-11-17 21:11:11.488,8554.88,0.029431,50.0
2019-11-17 21:11:11.488,8554.93,0.210937,50.0
2019-11-17 21:11:11.869,8555.2,0.251759,50.0
2019-11-17 21:11:12.593,8555.89,0.021162,50.0
2019-11-17 21:11:12.815,8556.05,0.002584,50.0
2019-11-17 21:11:14.210,8556.05,0.764636,50.0
2019-11-17 21:11:14.210,8555.21,0.001407,50.0
2019-11-17 21:11:14.262,8556.09,0.001875,50.0
2019-11-17 21:11:14.794,8556.06,0.186093,50.0
2019-11-17 21:11:14.794,8556.33,0.047376,50.0
2019-11-17 21:11:14.794,8556.57,0.058382,50.0
2019-11-17 21:11:14.794,8556.58,0.058922,50.0
2019-11-17 21:11:15.466,8555.59,0.12,50.0
2019-11-17 21:11:16.130,8556.57,0.016772,50.0
2019-11-17 21:11:17.063,8555.71,0.011152,50.0
2019-11-17 21:11:17.127,8556.1,0.255793,50.0
2019-11-17 21:11:17.190,8556.58,0.081703,50.0
2019-11-17 21:11:17.190,8556.73,0.159545,50.0
2019-11-17 21:11:17.820,8556.65,0.060029,50.0
2019-11-17 21:11:18.371,8556.65,0.015356,50.0
2019-11-17 21:11:18.371,8556.65,0.044737,50.0
2019-11-17 21:11:18.973,8556.73,0.027955,50.0
2019-11-17 21:11:18.973,8556.8,0.032177,50.0
2019-11-17 21:11:19.576,8556.87,0.060049,50.0
2019-11-17 21:11:20.162,8556.86,0.060018,50.0
2019-11-17 21:11:20.419,8556.14,0.00138,50.0
2019-11-17 21:11:20.548,8556.17,0.0172,50.0
2019-11-17 21:11:20.743,8556.41,0.476402,50.0
2019-11-17 21:11:20.763,8556.82,0.06011,50.0
2019-11-17 21:11:21.345,8556.72,0.060061,50.0
2019-11-17 21:11:21.931,8556.86,0.060062,50.0
2019-11-17 21:11:22.522,8556.87,0.060105,50.0
2019-11-17 21:11:22.780,8556.29,0.045155,50.0
2019-11-17 21:11:23.110,8556.87,0.06001,50.0
2019-11-17 21:11:23.690,8556.87,0.060141,50.0
2019-11-17 21:11:23.866,8556.5,0.117358,50.0
2019-11-17 21:11:24.285,8556.87,0.009695,50.0
2019-11-17 21:11:24.285,8557.29,0.050398,50.0
2019-11-17 21:11:26.043,8557.29,0.178484,50.0
2019-11-17 21:11:26.527,8557.24,0.058567,50.0
2019-11-17 21:11:26.606,8557.27,0.198073,50.0
2019-11-17 21:11:26.645,8557.26,0.051311,50.0
2019-11-17 21:11:26.645,8557.29,0.008833,50.0
2019-11-17 21:11:26.646,8557.24,2.9e-05,50.0
2019-11-17 21:11:26.646,8556.39,0.001328,50.0
2019-11-17 21:11:27.237,8557.29,0.060149,50.0
2019-11-17 21:11:27.835,8557.29,0.060093,50.0
2019-11-17 21:11:28.434,8557.29,0.060056,50.0
2019-11-17 21:11:28.436,8557.29,0.002663,50.0
2019-11-17 21:11:28.634,8557.29,0.001992,50.0
2019-11-17 21:11:29.019,8557.29,0.060079,50.0
2019-11-17 21:11:29.618,8557.29,0.060081,50.0
2019-11-17 21:11:30.022,8557.24,0.041396,50.0
2019-11-17 21:11:30.208,8557.29,0.06012,50.0
2019-11-17 21:11:30.549,8557.24,8e-06,50.0
2019-11-17 21:11:30.549,8556.42,0.001395,50.0
2019-11-17 21:11:30.814,8557.29,0.060059,50.0
2019-11-17 21:11:31.405,8557.27,0.024758,50.0
2019-11-17 21:11:31.405,8557.28,0.035263,50.0
2019-11-17 21:11:31.998,8557.3,0.060128,50.0
2019-11-17 21:11:32.322,8556.84,0.21794,50.0
2019-11-17 21:11:32.588,8557.3,0.060121,50.0
2019-11-17 21:11:33.182,8557.3,0.060016,50.0
2019-11-17 21:11:33.788,8557.3,0.060115,50.0
2019-11-17 21:11:34.381,8557.3,0.060146,50.0
2019-11-17 21:11:34.691,8557.3,0.013492,50.0
2019-11-17 21:11:34.776,8557.35,0.086602,50.0
2019-11-17 21:11:34.847,8557.35,0.001315,50.0
2019-11-17 21:11:34.875,8557.35,0.032239,50.0
2019-11-17 21:11:36.339,8557.35,0.010427,50.0
2019-11-17 21:11:37.972,8557.93,0.181052,50.0
2019-11-17 21:11:37.983,8557.37,0.210288,50.0
2019-11-17 21:11:38.985,8557.37,0.136515,50.0
2019-11-17 21:11:39.515,8557.37,0.018572,50.0
2019-11-17 21:11:39.723,8557.37,0.006759,50.0
2019-11-17 21:11:41.054,8557.37,0.000278,50.0
2019-11-17 21:11:41.054,8557.3,0.0011,50.0
2019-11-17 21:11:41.207,8557.31,0.08703,50.0
2019-11-17 21:11:41.300,8557.31,0.040158,50.0
2019-11-17 21:11:41.399,8557.3,0.005445,50.0
2019-11-17 21:11:45.811,8557.34,0.002488,50.0
2019-11-17 21:11:46.001,8557.34,0.020853,50.0
2019-11-17 21:11:46.386,8558.1,0.002488,50.0
2019-11-17 21:11:46.386,8558.11,0.11582,50.0
2019-11-17 21:11:46.837,8557.34,2.8e-05,50.0
2019-11-17 21:11:46.837,8557.33,0.001274,50.0
2019-11-17 21:11:47.010,8557.34,0.032702,50.0
2019-11-17 21:11:47.278,8557.34,1.5e-05,50.0
2019-11-17 21:11:47.278,8557.33,0.001385,50.0
2019-11-17 21:11:47.396,8557.34,0.02701,50.0
2019-11-17 21:11:48.662,8557.57,0.042064,50.0
2019-11-17 21:11:48.666,8557.57,0.116577,50.0
2019-11-17 21:11:48.760,8557.37,0.042064,50.0
2019-11-17 21:11:49.260,8557.37,2e-06,50.0
2019-11-17 21:11:49.260,8557.36,0.119998,50.0
2019-11-17 21:11:50.228,8557.36,0.088579,50.0
2019-11-17 21:11:51.825,8557.53,0.007684,50.0
2019-11-17 21:11:51.947,8557.53,0.006569,50.0
2019-11-17 21:11:53.487,8557.48,0.133105,50.0
2019-11-17 21:11:53.899,8557.48,0.1,50.0
2019-11-17 21:11:53.915,8557.48,0.1,50.0
2019-11-17 21:11:53.922,8557.48,0.1,50.0
2019-11-17 21:11:54.232,8557.31,0.233485,50.0
2019-11-17 21:11:54.447,8557.37,0.074952,50.0
2019-11-17 21:11:54.455,8557.49,0.124254,50.0
2019-11-17 21:11:54.663,8557.33,0.046433,50.0
2019-11-17 21:11:55.483,8557.78,0.001399,50.0
2019-11-17 21:11:55.596,8557.76,0.0172,50.0
2019-11-17 21:11:55.712,8557.79,0.020437,50.0
2019-11-17 21:11:56.865,8558.29,0.00233,50.0
2019-11-17 21:11:56.928,8558.29,0.186973,50.0
2019-11-17 21:11:59.319,8558.21,0.43914,50.0
2019-11-17 21:12:00.162,8558.29,1.550393,50.0
2019-11-17 21:12:01.702,8558.29,0.001328,50.0
2019-11-17 21:12:03.858,8558.29,0.071359,50.0
2019-11-17 21:12:04.339,8558.0,0.100034,50.0
2019-11-17 21:12:04.410,8558.16,0.193097,50.0
2019-11-17 21:12:04.421,8558.0,0.10554,50.0
2019-11-17 21:12:07.287,8558.09,0.111487,50.0
2019-11-17 21:12:07.292,8557.9,0.227883,50.0
2019-11-17 21:12:07.906,8558.28,0.001325,50.0
2019-11-17 21:12:09.542,8558.09,0.001886,50.0
2019-11-17 21:12:09.681,8557.49,0.06074,50.0
2019-11-17 21:12:10.695,8557.92,0.060763,50.0
2019-11-17 21:12:10.695,8557.93,0.339237,50.0
2019-11-17 21:12:12.689,8557.56,0.23828,50.0
