Time,Price
2019-11-13 09:30:59.999,8760.7
2019-11-13 09:31:59.999,8760.68
2019-11-13 09:32:59.999,8760.0
2019-11-13 09:33:59.999,8758.94
2019-11-13 09:34:59.999,8778.59
2019-11-13 09:35:59.999,8779.31
2019-11-13 09:36:59.999,8789.17
2019-11-13 09:37:59.999,8783.85
2019-11-13 09:38:59.999,8778.06
2019-11-13 09:39:59.999,8778.84
2019-11-13 09:40:59.999,8778.37
2019-11-13 09:41:59.999,8785.22
2019-11-13 09:42:59.999,8785.0
2019-11-13 09:43:59.999,8783.37
2019-11-13 09:44:59.999,8775.0
2019-11-13 09:45:59.999,8778.21
2019-11-13 09:46:59.999,8779.66
2019-11-13 09:47:59.999,8782.07
2019-11-13 09:48:59.999,8783.22
2019-11-13 09:49:59.999,8782.14
2019-11-13 09:50:59.999,8781.94
2019-11-13 09:51:59.999,8779.5
2019-11-13 09:52:59.999,8777.68
2019-11-13 09:53:59.999,8775.0
2019-11-13 09:54:59.999,8776.34
2019-11-13 09:55:59.999,8777.92
2019-11-13 09:56:59.999,8777.0
2019-11-13 09:57:59.999,8777.98
2019-11-13 09:58:59.999,8779.97
2019-11-13 09:59:59.999,8779.82
2019-11-13 10:00:59.999,8779.28
2019-11-13 10:01:59.999,8779.19
2019-11-13 10:02:59.999,8776.19
2019-11-13 10:03:59.999,8770.15
2019-11-13 10:04:59.999,8765.84
2019-11-13 10:05:59.999,8771.55
2019-11-13 10:06:59.999,8770.0
2019-11-13 10:07:59.999,8767.35
2019-11-13 10:08:59.999,8763.11
2019-11-13 10:09:59.999,8763.89
2019-11-13 10:10:59.999,8764.48
2019-11-13 10:11:59.999,8760.41
2019-11-13 10:12:59.999,8764.0
2019-11-13 10:13:59.999,8764.2
2019-11-13 10:14:59.999,8767.05
2019-11-13 10:15:59.999,8761.92
2019-11-13 10:16:59.999,8761.08
2019-11-13 10:17:59.999,8760.0
2019-11-13 10:18:59.999,8759.97
2019-11-13 10:19:59.999,8753.72
2019-11-13 10:20:59.999,8748.52
2019-11-13 10:21:59.999,8750.83
2019-11-13 10:22:59.999,8752.05
2019-11-13 10:23:59.999,8755.11
2019-11-13 10:24:59.999,8752.38
2019-11-13 10:25:59.999,8751.55
2019-11-13 10:26:59.999,8756.66
2019-11-13 10:27:59.999,8755.02
2019-11-13 10:28:59.999,8756.17
2019-11-13 10:29:59.999,8756.34
2019-11-13 10:30:59.999,8754.05
2019-11-13 10:31:59.999,8755.01
2019-11-13 10:32:59.999,8754.05
2019-11-13 10:33:59.999,8755.71
2019-11-13 10:34:59.999,8757.98
2019-11-13 10:35:59.999,8761.76
2019-11-13 10:36:59.999,8763.43
2019-11-13 10:37:59.999,8766.86
